P03886	MT-ND1

	CHST15

	NCBP3

P78333	GPC5

	DLGAP4

	GPC5

Q8TC17	GRAPL

Q96KG7	MEGF10

Q13188	STK3

Q8ND25	ZNRF1

	GRAPL

Q9H2W6	MRPL46

	MRPL46

	ZNRF1

	MTFP1

O60299	LZTS3

	STK3

	ADAMTS18

Q6ZMN7	PDZRN4

Q9UDX5	MTFP1

	PDZRN4

Q9NUR3	TMEM74B

Q4ZJI4	SLC9B1

Q8N2U9	SLC66A2

	ATP6V0D2

	SLC9B1

Q5FBB7	SGO1

	SLC66A2

Q8N8Y2	ATP6V0D2

P04141	CSF2

Q8TE60	ADAMTS18

	MED21

P28039	AOAH

	NDUFA3

Q86SQ4	ADGRG6

	AOAH

	SLC47A1

Q13503	MED21

P27815	PDE4A

	PTPRA

Q6UWM9	UGT2A3

	ADGRG6

	UGT2A3

Q9H0W7	THAP2

	THAP2

	PDE4A

Q14019	COTL1

	TFPT

	C22orf15

	COTL1

	SMARCB1

Q9Y231	FUT9

	SEC14L3

Q12824	SMARCB1

P27695	APEX1

	SGO1

	CHCHD10

Q96FL8	SLC47A1

Q8WYQ3	CHCHD10

Q5R3K3	CALHM6

O95831	AIFM1

	AIFM1

	CALHM6

O94900	TOX

Q9UDX4	SEC14L3

P24347	MMP11

	MMP11

O60669	SLC16A7

	MUC5AC

Q38SD2	LRRK1

	DERL3

Q96Q80	DERL3

Q16543	CDC37

	LRRK1

P19387	POLR2C

	PRPF31

	CDC37

Q9BYW1	SLC2A11

	SLC2A11

Q96KP6	TNIP3

P22003	BMP5

	GP6

	SLC16A7

Q5T0W9	FAM83B

	POLR2C

Q03692	COL10A1

P16415	ZNF823

	ZNF823

	WSB1

	COL10A1

P14174	MIF

	TNIP3

Q8IYI8	ZNF440

	ZNF440

P30046	DDT

	DDT

P60153	RNASE9

Q96HH9	GRAMD2B

	UBN1

P01703	IGLV1-40

	GRAMD2B

Q96P67	GPR82

	GSTT4

P01699	IGLV1-44

A0A0A0MS00	IGLV3-32

P18433	PTPRA

	ZNF280B

	ZNF441

	RDH13

Q6UVY6	MOXD1

	COX7B

	GSTT1

A0A075B6J1	IGLV5-37

Q9UDX3	SEC14L4

Q8N8Z8	ZNF441

P04211	IGLV7-43

P30711	GSTT1

	MOXD1

A0A0B4J1U3	IGLV1-36

P59817	ZNF280A

Q02487	DSC2

A0A0G2JS06	

A0A075B6J2	IGLV2-33

	IGLV5-45

	SEC14L4

P78395	PRAME

P24311	COX7B

	PRAME

	DSC2

	GSTT2

P0CG29	GSTT2

	ASAP1

O14595	CTDSP2

Q04609	FOLH1

	LRRC28

Q8NH40	OR6S1

	CTDSP2

	RAB12

P34096	RNASE4

	FOLH1

Q9NPG3	UBN1

Q99909	SSX3

Q14507	EDDM3A

	SSX3

P56851	EDDM3B

Q9H4I0	RAD21L1

Q93091	RNASE6

Q9ULH1	ASAP1

	RAD21L1

P07998	RNASE1

Q9Y6I7	WSB1

Q9H7M6	ZSWIM4

	ZSWIM4

Q8NHJ6	LILRB4

Q5JPB2	ZNF831

Q8NHG7	SVIP

P60323	NANOS3

	RNASE1

	BRME1

Q86X40	LRRC28

Q0VDD7	BRME1

O60224	SSX4

	C16orf74

O00148	DDX39A

Q8NFJ8	BHLHE22

Q6P1N0	CC2D1A

Q96GX8	C16orf74

P10153	RNASE2

	CC2D1A

	MAL2

Q969L2	MAL2

	PODNL1

	DDX39A

Q6PEZ8	PODNL1

Q9NP94	SLC39A2

Q6P3W2	DNAJC24

Q92953	KCNB2

	DNAJC24

	FTSJ1

Q66K64	DCAF15

	DCAF15

Q99999	GAL3ST1

P22670	RFX1

Q8NGL3	OR5D14

P22830	FECH

	RFX1

Q9UET6	FTSJ1

Q8WXF3	RLN3

	RLN3

Q6UWB1	IL27RA

	PALM3

A6NDB9	PALM3

P59282	TPPP2

	MISP3

Q96FF7	MISP3

Q76FK4	NOL8

	TPPP2

P36406	TRIM23

A6NJJ6	C19orf67

	C19orf67

Q6SPF0	SAMD1

	SAMD1

Q12946	FOXF1

P17612	PRKACA

	FECH

	GAL3ST1

	PRKACA

Q5GAN3	RNASE13

Q9H1E1	RNASE7

	TRIM23

Q9NVP2	ASF1B

Q8N3C0	ASCC3

	ASF1B

Q8TDE3	RNASE8

O94910	ADGRL1

	ASCC3

	FAM91A1

	ADGRL1

	ARHGEF40

Q658Y4	FAM91A1

O95487	SEC24B

Q15125	EBP

	EBP

Q8N8U2	CDYL2

Q9BXB1	LGR4

	NOL8

	CDYL2

Q8TAE6	PPP1R14C

	LGR4

	CYP2D6

	ASB9

Q9UBM1	PEMT

	HCN1

Q96DX5	ASB9

O60741	HCN1

E9PKD4	NPIPA5

Q7Z404	TMC4

	PEMT

Q8NGL4	OR5D13

Q8NGQ5	OR9Q1

	LILRA4

Q8TDN4	CABLES1

Q8NGL9	OR4C16

	CABLES1

Q9Y608	LRRFIP2

	SMDT1

Q9H4I9	SMDT1

Q16878	CDO1

P48960	ADGRE5

O43439	CBFA2T2

	ADGRE5

Q9Y3C7	MED31

	MED31

Q96DX7	TRIM44

Q8WXH4	ASB11

	CBFA2T2

Q5JWF8	ACTL10

	CNTNAP3C

	ALKBH5

Q6P6C2	ALKBH5

Q8N8L2	ZNF491

	ZNF491

	ASB11

	LRRFIP2

P08069	IGF1R

	IGF1R

P22059	OSBP

P20774	OGN

	OSBP

Q13322	GRB10

Q8NGF6	OR10W1

	OGN

Q8NGF7	OR5B17

Q6ZW31	SYDE1

Q9UBX8	B4GALT6

	SYDE1

Q8NH83	OR4A5

	B4GALT6

Q8TER5	ARHGEF40

Q8IYF1	ELOA2

	GRB10

A8MPX8	PP2D1

Q8IYK2	CCDC105

Q9BXN1	ASPN

	ASPN

Q13239	SLA

P37287	PIGA

	CCDC74B

Q5T1H1	EYS

	PIGA

Q9NX76	CMTM6

	EYS

O00541	PES1

	MZT2B

	AIPL1

	MINDY2

	TUBA3E

Q9P2Y4	ZNF219

	RYBP

Q6MZQ0	PRR5L

	ZNF219

Q6ZWI9	RFPL4B

	SMPD4

	PRR5L

Q8NBR6	MINDY2

O43915	VEGFD

	PKMYT1

	OR5AU1

O14974	PPP1R12A

Q63HQ2	EGFLAM

P24468	NR2F2

	PES1

Q8NGC0	OR5AU1

Q99640	PKMYT1

	EGFLAM

	PPP1R12A

	NR2F2

	SLA

P62310	LSM3

	RAB6C

Q9P000	COMMD9

	COMMD9

	CEP152

Q8NBA8	DTWD2

Q86VH2	KIF27

Q8NHC8	OR2T6

	DTWD2

Q6IF00	OR2T2

Q8NH00	OR2T4

Q8N4S7	PAQR4

P0C7T2	OR2T7

O43869	OR2T1

	PAQR4

Q8NH03	OR2T3

Q6IEZ7	OR2T5

X6R8R1	SYT15B

	SYT15B

	KIF27

	TRIM43

P19174	PLCG1

P0DQD5	NPY4R2

B3EWG5	FAM25C

	PROM2

Q5T6V5	C9orf64

Q9Y5B9	SUPT16H

O75563	SKAP2

	C9orf64

	GREP1

Q96JP5	ZFP91

	SUPT16H

	OR4A8

	FAHD2A

P18621	RPL17

	GLYAT

P03950	ANG

O95484	CLDN9

	SKAP2

	PLCG1

Q70Z35	PREX2

P56747	CLDN6

	CLDN6

Q6IB77	GLYAT

Q96FX7	TRMT61A

	TRMT61A

	RPL17

Q8WV48	CCDC107

Q9UGT4	SUSD2

Q9NZN9	AIPL1

	CCDC107

P51793	CLCN4

	CLCN4

Q92777	SYN2

Q8IWZ4	TRIM48

H3BU77	CCDC179

	PEDS1-UBE2V1

	SYN2

Q9UEE5	STK17A

	TOM1

Q8N4T4	ARHGEF39

O15105	SMAD7

	RIBC1

Q8N443	RIBC1

Q9HCS5	EPB41L4A

Q8N4B4	FBXO39

	FBXO39

	SMAD7

O60784	TOM1

P41225	SOX3

A5PLL7	PEDS1

Q9Y6Z7	COLEC10

Q10472	GALNT1

	PEDS1

O60678	PRMT3

Q99956	DUSP9

Q6ZNB7	AGMO

	AGMO

P26010	ITGB7

	ITGB7

P17676	CEBPB

O43542	XRCC3

	GALNT1

	PRMT3

	TBC1D31

Q86W42	THOC6

	GAL3ST2

	TPM2

Q8WWR8	NEU4

	NEU4

A4D1E1	ZNF804B

	ZNF804B

O94986	CEP152

Q13606	OR5I1

Q8NH69	OR5W2

	EFHC1

	PTPN1

	RAD50

	RTP5

Q14D33	RTP5

	XRCC3

P18031	PTPN1

Q15116	PDCD1

Q96HH6	TMEM19

	PDCD1

A8MUV8	ZNF727

	TMEM19

A1A5D9	BICDL2

Q9NS69	TOMM22

Q9C0G0	ZNF407

	BICDL2

	FAM81A

Q7L266	ASRGL1

Q9C0E4	GRIP2

	ZNF407

Q9UHX3	ADGRE2

	GRIP2

	ASRGL1

Q8TBF8	FAM81A

	HSBP1L1

C9JCN9	HSBP1L1

	ZSCAN10

O75976	CPD

Q96SZ4	ZSCAN10

P07951	TPM2

	CPD

P10635	CYP2D6

Q9UGU0	TCF20

	TCF20

P83876	TXNL4A

	TXNL4A

P12931	SRC

P10600	TGFB3

	CYP2D7

Q14563	SEMA3A

	TGFB3

P08648	ITGA5

A0A0U1RRK4	LBHD2

	ITGA5

	SEMA3A

Q9UKK6	NXT1

	ADGRE2

Q5JVL4	EFHC1

	TCF7L1

Q9H116	GZF1

Q6NT04	TIGD7

	GZF1

Q03169	TNFAIP2

	TIGD7

	TGOLN2

	TNFAIP2

	VKORC1L1

	ACSS3

	RETSAT

Q8N0U8	VKORC1L1

O43889	CREB3

Q92831	KAT2B

	SNTG2

O95371	OR2C1

	SEC31A

Q8N0V3	RBFA

Q9H0C5	BTBD1

Q15697	ZNF174

	BTBD1

Q6P2M8	PNCK

Q7Z7K0	CMC1

Q96RI8	TAAR6

	FKBP1C

	CMC1

	ZNF174

Q9H115	NAPB

P26678	PLN

Q9H6R3	ACSS3

Q96LX8	ZNF597

Q6IQ32	ADNP2

	ADNP2

	NAPB

P33908	MAN1A1

Q13867	BLMH

	BLMH

Q9HCG7	GBA2

O14908	GIPC1

	GBA2

	PNCK

Q9BYG4	PARD6G

	GIPC1

Q9H114	CSTL1

O95359	TACC2

	PARD6G

P53004	BLVRA

	ALDH1A3

	BLVRA

Q68E01	INTS3

Q9UJ96	KCNG2

Q9H112	CST11

A6NF83	NUPR2

	INTS3

Q96NB3	ZNF830

O60412	OR7C2

	ZNF830

	TACC2

Q96JQ2	CLMN

P01286	GHRH

Q8WXI9	GATAD2B

	IGFBP6

	SLC27A3

	CLMN

Q5K4L6	SLC27A3

Q96DN5	TBC1D31

Q92546	RGP1

	TAMM41

	XYLB

Q15049	MLC1

P47895	ALDH1A3

	MLC1

Q1L6U9	MSMP

P24592	IGFBP6

Q8WUU5	GATAD1

	GATAD1

Q9HD26	GOPC

	GOPC

Q92878	RAD50

P78329	CYP4F2

	NSRP1

	CYP4F2

P35908	KRT2

Q99932	SPAG8

	SIVA1

	SPAG8

Q8WW38	ZFPM2

Q96IZ0	PAWR

	PAWR

P54578	USP14

P51572	BCAP31

	ZFPM2

O15304	SIVA1

	ADI1

	USP14

	TRAPPC12

B2RXF5	ZBTB42

Q9BWU1	CDK19

Q96AW1	VOPP1

	BCAP31

Q9H0G5	NSRP1

	CDK19

Q9ULR3	PPM1H

Q9BX68	HINT2

Q14520	HABP2

	VOPP1

Q92610	ZNF592

Q96EB1	ELP4

	ZNF592

Q7Z418	KCNK18

Q53TQ3	INO80D

	ELP4

	INO80D

Q9UD57	NKX1-2

P28331	NDUFS1

	NDUFS1

Q92572	AP3S1

P18509	ADCYAP1

P33897	ABCD1

	LHPP

	ABCD1

	TMBIM6

Q9H008	LHPP

	AP3S1

	LMBRD1

P24534	EEF1B2

	EEF1B2

A6NDV4	TMEM8B

	ELAC1

	NAA60

	ADGRE3

P46091	CMKLR2

	CMKLR2

Q9H777	ELAC1

Q9HCK1	ZDBF2

Q9BY15	ADGRE3

O75191	XYLB

	TMEM8B

	ZDBF2

Q6DKJ4	NXN

	CRIM1

Q96B67	ARRDC3

	DHX32

O15031	PLXNB2

	BET1

O15155	BET1

Q9H7X0	NAA60

	PLXNB2

Q7L7V1	DHX32

	METTL4

A6H8Z2	FAM221B

Q8N3J2	METTL4

	FAM221B

Q9NRP4	SDHAF3

	SDHAF3

Q8WVC0	LEO1

Q6UXD1	HRCT1

A0A1B0GVQ0	SPAAR

Q8N961	ABTB2

	TMOD3

Q9ULL4	PLXNB3

Q9NQN1	OR2S2

Q9NYL9	TMOD3

	HNRNPR

O43390	HNRNPR

P34741	SDC2

	PLXNB3

Q8NGI7	OR10V1

	SDC2

	SLC25A46

Q9C0F3	ZNF436

Q9NUN5	LMBRD1

O75764	TCEA3

	TCEA3

Q9HCS2	CYP4F12

Q8IWU2	LMTK2

Q8TDY4	ASAP3

	CYP4F12

	CKMT1B

	ASAP3

P12532	CKMT1B

Q96AG3	SLC25A46

Q86TB9	PATL1

	C16orf90

	IGKV1D-8

A8MZG2	C16orf90

A0A0C4DH55	IGKV3D-7

Q14209	E2F2

Q96DF8	ESS2

Q02535	ID3

	ESS2

O14777	NDC80

	NDC80

P42568	MLLT3

	CLUAP1

	MLLT3

Q96PF2	TSSK2

O15499	GSC2

	HTRA1

Q92743	HTRA1

P34995	PTGER1

Q8NEN9	PDZD8

	LMNB1

A6NFZ4	FAM24A

	EXD3

	SMCHD1

P20700	LMNB1

A6NHR9	SMCHD1

P53007	SLC25A1

Q9Y6V0	PCLO

	TEX36

Q7RTU9	STRC

Q9UQ52	CNTN6

Q13370	PDE3B

	STRC

Q5VZQ5	TEX36

	SRPK3

	KIF5C

Q9UII2	ATP5IF1

	CNTN6

P29966	MARCKS

	ATP5IF1

	PCLO

P58004	SESN2

Q9UPE1	SRPK3

Q9BUE0	MED18

	SLC25A1

Q8N9H8	EXD3

	MUC4

Q86WI1	PKHD1L1

Q96AJ1	CLUAP1

	PKHD1L1

Q92484	SMPDL3A

	ZFP91-CNTF

	GRHL2

Q9UBI9	HECA

A1L0T0	ILVBL

	ILVBL

Q5T215	TRAPPC3L

	AHNAK

	TRAPPC3L

	MUC20

P55061	TMBIM6

P51571	SSR4

Q6NT16	SLC18B1

	SLC18B1

Q09666	AHNAK

Q5MY95	ENTPD8

Q8N307	MUC20

	TUBA8

	ENTPD8

Q6ISB3	GRHL2

Q6PJT7	ZC3H14

	CYP4F8

Q9NY65	TUBA8

Q9HCJ2	LRRC4C

	SSR4

	AP2B1

	ZC3H14

Q8TCX5	RHPN1

	LRRC4C

Q7RTR2	NLRC3

O75509	TNFRSF21

	NLRC3

Q9HD45	TM9SF3

Q9NV79	PCMTD2

	PCMTD2

	TM9SF3

	NREP

	OPRL1

P48146	NPBWR2

P98187	CYP4F8

	MYT1

Q01538	MYT1

Q6ZV29	PNPLA7

Q9H2A2	ALDH8A1

	TRAP1

	BIN2

	ADSL

	ALDH8A1

	PNPLA7

Q16612	NREP

Q53H82	LACTB2

Q96PD5	PGLYRP2

Q8IXM3	MRPL41

	PGLYRP2

Q9UBW5	BIN2

Q9BTV6	DPH7

	ZNF627

P12532	CKMT1A

	CKMT1A

Q7L945	ZNF627

O43861	ATP9B

	TRAM1

O43581	SYT7

Q15629	TRAM1

	SYT7

Q14210	LY6D

O60942	RNGTT

P15248	IL9

Q8NFW9	MYRIP

	ZNF333

	BEST3

P30566	ADSL

Q96E35	ZMYND19

	TTC8

Q9BSJ1	TRIM51

Q9HB65	ELL3

	ELL3

Q96JL9	ZNF333

	MYRIP

	AADACL2

Q6P093	AADACL2

Q8N1M1	BEST3

P55081	MFAP1

Q8N5I2	ARRDC1

	ARRDC1

Q1EHB4	SLC5A12

Q15596	NCOA2

	NCOA2

Q96Q77	CIB3

	SLC5A12

	OARD1

Q9UHP6	RSPH14

	RSPH14

	CIB3

	SCGB1A1

P19086	GNAZ

P11684	SCGB1A1

	TG

Q15582	TGFBI

	RFTN1

	APOL5

Q8TAM2	TTC8

O43251	RBFOX2

Q8NCL4	GALNT6

	RBFOX2

P63010	AP2B1

Q02338	BDH1

Q9Y5R6	DMRT1

Q9H607	OCEL1

	BDH1

	DMRT1

	TGFBI

	OCEL1

Q9NQL9	DMRT3

	DMRT3

Q8NEB9	PIK3C3

	GALNT6

	PIK3C3

Q12931	TRAP1

A0AVK6	E2F8

	E2F8

	FAM120AOS

	SLC24A1

	INF2

Q5T036	FAM120AOS

O60721	SLC24A1

Q9H2M3	BHMT2

	BHMT2

Q6V1P9	DCHS2

Q9Y530	OARD1

P32004	L1CAM

	DENND4A

	TSPAN18

	SRL

A0A1B0GUA5	SMIM32

Q14699	RFTN1

P62324	BTG1

P11274	BCR

Q13077	TRAF1

	L1CAM

Q96SJ8	TSPAN18

Q86TD4	SRL

	BCR

	EPS15L1

O43854	EDIL3

Q8IZV2	CMTM8

Q8N5N7	MRPL50

Q9P1P5	TAAR2

Q9BRR3	PGAP4

Q9H814	PHAX

Q9P032	NDUFAF4

Q01664	TFAP4

	TFAP4

Q7Z6V5	ADAT2

Q8IY84	NIM1K

	FGD5

Q9HBV1	POPDC3

	POPDC3

Q16630	CPSF6

P26641	EEF1G

	CPSF6

P51606	RENBP

	RENBP

Q5T2D2	TREML2

P01266	TG

Q96FV9	THOC1

Q5VTR2	RNF20

	DSE

	RNF20

Q92526	CCT6B

Q9BVS4	RIOK2

	RIOK2

O75600	GCAT

Q96LZ3	PPP3R2

	GCAT

	PPP3R2

Q7Z401	DENND4A

	THOC1

	BAAT

Q14032	BAAT

Q9UL01	DSE

	CCT6B

	HCFC1

	LRRIQ1

O60755	GALR3

Q969W1	ZDHHC16

Q9H8G2	CAAP1

Q96JM4	LRRIQ1

	ZDHHC16

	CAAP1

	RAB11A

	HAT1

	METAP1D

Q8IVN8	SBSPON

Q86YH6	PDSS2

	DLX1

	PDSS2

P78414	IRX1

	SLC25A12

Q569H4	PRR16

	PRR16

P62491	RAB11A

Q9NWH2	TMEM242

	TMEM242

P51610	HCFC1

	DYNC1I2

	TOP1MT

Q14656	TMEM187

	TMEM187

	TIMM8A

	LECT2

O60220	TIMM8A

Q6ZNL6	FGD5

O14960	LECT2

Q9Y263	PLAA

	MMP21

	RPL36A

	PLAA

P83881	RPL36A

Q8N119	MMP21

Q9H756	LRRC19

A6NCC3	GOLGA8O

	RPL36A-HNRNPH2

	GOLGA8O

P55795	HNRNPH2

	CDH6

Q9NQ60	EQTN

P55285	CDH6

	ATG5

Q66LE6	PPP2R2D

	RPS3A

P49916	LIG3

	LIG3

	PPP2R2D

Q8N1B3	CCNQ

	EIF3L

	CCNQ

Q9Y262	EIF3L

Q969P6	TOP1MT

	SH3D19

	NELL1

Q9H1Y0	ATG5

Q92832	NELL1

O75838	CIB2

	PRSS48

Q3SYG4	BBS9

	BBS9

Q86YM7	HOMER1

	CIB2

Q8WUM4	PDCD6IP

	HOMER1

Q9BXW6	OSBPL1A

	PDCD6IP

Q27J81	INF2

P48029	SLC6A8

	GRB7

	IMMP1L

	SLC6A8

	OSBPL1A

Q86UP6	CUZD1

	MICALL1

Q96FX8	PERP

Q9Y2C2	UST

Q96LU5	IMMP1L

Q9BZM4	ULBP3

	CUZD1

	GML

	SNX12

	KCNIP4

Q15256	PTPRR

Q99445	GML

Q8N3F8	MICALL1

	IDH3A

Q9UMY4	SNX12

Q6ZSG2	INSYN2A

P23378	GLDC

	ABCB11

	GLDC

O75564	JRK

Q9NQR9	G6PC2

	G6PC2

Q8NGK9	OR5D16

Q9HBM1	SPC25

	SPC25

Q8TAL6	FIBIN

	NOSTRIN

Q9UBC2	EPS15L1

P98177	FOXO4

	HEBP2

	JRK

Q9Y5Z4	HEBP2

A6NEN9	CXorf65

	CXorf65

	PTPRR

	NNT

O94979	SEC31A

Q6UXB3	LYPD2

Q02952	AKAP12

Q8N6F7	GCSAM

	GCSAM

P0DP57	SLURP2

	SLURP2

Q5VY80	RAET1L

Q4G0N8	SLC9C1

Q9Y574	ASB4

Q14451	GRB7

	SLC9C1

P19099	CYP11B2

P08034	GJB1

P50213	IDH3A

	XPA

P23025	XPA

P30793	GCH1

Q9UMS4	PRPF19

	PRPF19

Q6UXX9	RSPO2

Q9NVW2	RLIM

Q9BZH6	WDR11

P31944	CASP14

P26441	CNTF

Q5RL73	RBM48

	RSPO2

	RBM48

Q5QGS0	NEXMIF

	NEXMIF

	SUMF1

Q9H596	DUSP21

	MTERF1

	PRDM9

Q9H7Y0	DIPK2B

Q99551	MTERF1

Q8NBK3	SUMF1

	WDR11

A6NJ78	METTL15

	METTL15

P47972	NPTX2

P52179	MYOM1

	DLK1

	RFXANK

	WDR76

Q9UQF0	ERVW-1

	MYOM1

	PRPS1

Q96NA8	TSNARE1

Q9H967	WDR76

	TSNARE1

Q8TBZ9	TEX47

P60891	PRPS1

P80370	DLK1

	WDR7

P55000	SLURP1

P23560	BDNF

O95972	BMP15

P33981	TTK

P13631	RARG

	BDNF

	TTK

Q4V326	GAGE2E

P20366	TAC1

	GAGE12B

P57772	EEFSEC

	EEFSEC

Q86YD5	LDLRAD3

	LDLRAD3

Q9Y3B2	EXOSC1

O75459	PAGE1

	EXOSC1

P40145	ADCY8

P25398	RPS12

	ADCY8

O60829	PAGE4

Q6PEY0	GJB7

	GJB7

	RARG

P60059	SEC61G

O60566	BUB1B

Q9NX20	MRPL16

	MRPL16

Q9UMS6	SYNPO2

	BUB1B

P02808	STATH

P15516	HTN3

Q8NGL2	OR5L1

	HTN3

	SYNPO2

P15515	HTN1

P0DP58	LYNX1

Q6MZM9	PRR27

	PRR27

P07320	CRYGD

P07315	CRYGC

	LYNX1

O14593	RFXANK

P38159	RBMX

Q9NUP9	LIN7C

	MUC7

	LIN7C

	LYNX1-SLURP2

Q6X4W1	NSMF

P61626	LYZ

	LYZ

Q8TAX7	MUC7

Q9H7X7	IFT22

	RBMX

A0A0A6YYL3	POTEB

Q9Y4E6	WDR7

Q8TC84	FANK1

Q6P9H4	CNKSR3

Q9Y6X8	ZHX2

	ZHX2

	FANK1

	OR10H4

	NSMF

P43234	CTSO

Q8NGA5	OR10H4

Q9Y4I5	TESMIN

	ASIC5

	TESMIN

	TDO2

P48775	TDO2

P56730	PRSS12

	CNKSR3

	IFT22

Q96P66	GPR101

	RBMS3

O43524	FOXO3

Q15170	TCEAL1

	NAV3

P45954	ACADSB

Q9Y2R5	MRPS17

	MRPS17

Q9H3R1	NDST4

Q6XE24	RBMS3

	RPL7

	DHX36

	CEP72

	ACO2

	SLC9A3

Q15014	MORF4L2

Q8IV01	SYT12

P18124	RPL7

Q96DR7	ARHGEF26

Q9Y421	FAM32A

Q13423	NNT

P99999	CYCS

Q99798	ACO2

Q8N9R8	SCAI

	CYCS

	SCAI

	SYT12

	MORF4L2

Q5T481	RBM20

	FAM32A

Q9Y226	SLC22A13

Q8N387	MUC15

	SLC22A13

	MUC15

Q9NWR8	MCUB

Q5JXX7	TMEM31

Q9Y646	CPQ

	CPQ

Q5H9E4	SLC25A53

O60508	CDC40

	CDC40

Q04941	PLP2

P25391	LAMA1

	UGT2B15

	TMPRSS11E

P63172	DYNLT1

P08236	GUSB

Q96MU7	YTHDC1

Q6UXK5	LRRN1

	YTHDC1

Q9NRP0	OSTC

	LPCAT1

Q10567	AP1B1

	OSTC

Q96KA5	CLPTM1L

	CLPTM1L

O43900	PRICKLE3

	AP1B1

	GUSB

	PRICKLE3

Q01959	SLC6A3

Q9NQ50	MRPL40

	OPRM1

Q01581	HMGCS1

Q12798	CETN1

Q96L42	KCNH8

	CNTNAP3B

	KCNH8

	HMGCS1

Q96NU0	CNTNAP3B

Q9BUN8	DERL1

	DERL1

Q9H720	CWH43

	MAP1B

	CWH43

Q8IVL0	NAV3

P46821	MAP1B

	MTFR1

P04818	TYMS

	SLC45A2

Q9NSD7	RXFP3

O95803	NDST3

	PRODH

Q9NWV8	BABAM1

	BABAM1

Q15390	MTFR1

	SLC35E3

	XPNPEP1

Q9NQ30	ESM1

	ESM1

O43272	PRODH

Q9BXA6	TSSK6

	TSSK6

Q7Z769	SLC35E3

P04899	GNAI2

Q9NRJ3	CCL28

	NDUFA13

	CCL28

Q8N5J4	SPIC

A0A087WTH1	TMEM265

Q9NQW7	XPNPEP1

	APOBEC3D

Q96AK3	APOBEC3D

Q9P0J0	NDUFA13

	FAM186A

Q9UF11	PLEKHB1

Q3KP44	ANKRD55

	ABT1

	ANKRD55

A6NE01	FAM186A

	BTN2A1

	HMGN4

	GNAI2

	BTN1A1

O14594	NCAN

Q5JTW2	CEP78

Q7Z412	PEX26

	NCAN

Q6ZQN5	FOXI2

	CEP78

O94855	SEC24D

Q15699	ALX1

	PHKG2

	PLEKHB1

P35372	OPRM1

P05546	SERPIND1

Q8TC90	CCER1

	CCER1

P15735	PHKG2

	SEC24D

Q86UD3	MARCHF3

Q7L5Y1	ENOSF1

P04264	KRT1

O95721	SNAP29

	SNAP29

	CHST11

	AZI2

	SUGP1

P01903	HLA-DRA

	BTNL2

	CFAP119

Q9NPF2	CHST11

P46109	CRKL

O43933	PEX1

P29803	PDHA2

P11487	FGF3

Q16637	SMN2

	SMN2

Q9BQI7	PSD2

	PSD2

Q13825	AUH

O60840	CACNA1F

	BASP1

Q13888	GTF2H2

Q9BT49	THAP7

A1A4V9	CFAP119

	GTF2H2

	ERMARD

P80723	BASP1

