Entry	PROSITE
A6NNZ2	PS00227;PS00228;
A6PVC2	PS51221;
A7E2V4	PS50966;
A7E2Y1	PS50096;PS51456;PS51844;
A7KAX9	PS50238;PS50002;
A7MCY6	PS51905;
A7MD48	
A7XYQ1	
A8CG34	
A8K0Z3	
A8K2U0	PS00477;
A8K4G0	PS50835;
A8K7I4	PS50234;
A8K830	PS52003;
A8K8P3	
A8K8V0	PS50805;PS00028;PS50157;
A8MPY1	PS00236;
A8MQ03	
A8MQ27	PS51065;PS50089;
A8MT69	
A8MTA8	
A8MTJ3	PS51882;
A8MTJ6	PS00657;PS00658;PS50039;
A8MTQ0	PS50071;
A8MTZ0	
A8MU46	PS50021;
A8MUP2	
A8MV65	
A8MVW5	PS50835;
A8MW92	PS01359;
A8MW95	
A8MW99	
A8MXD5	PS51354;
A8MXV4	PS51462;
A8MYU2	
A8MZ59	PS00027;PS50071;
A8TX70	PS50234;
A9QM74	PS50176;PS51214;
A9UHW6	
A9YTQ3	PS50888;PS50112;
B0I1T2	PS51456;PS51757;
B0L3A2	
B0YJ81	
B1AK53	PS50297;PS50088;PS51082;
B2RTY4	PS50096;PS51456;PS50200;PS50238;PS00479;PS50081;
B2RUY7	PS01208;PS50184;
B2RUZ4	
B2RXF5	PS50097;PS00028;PS50157;
B2RXH2	PS51184;PS51183;
B3KU38	
B6A8C7	
B7U540	
B7ZAQ6	
C4AMC7	PS51082;
C9JE40	
C9JLW8	
C9JR72	PS50097;
C9JRZ8	PS00062;
D3W0D1	PS50041;
D6RGH6	
E0CX11	
F5H094	PS51465;PS50850;
G2XKQ0	PS50053;
H0YL14	
H3BV60	
K7EJ46	
K9M1U5	
L0R8F8	
M0R2J8	PS50309;PS50231;
O00115	
O00116	PS51387;
O00124	PS50033;
O00139	PS00411;PS50067;
O00141	PS51285;PS00107;PS50011;PS00108;
O00142	
O00144	PS50038;PS50261;
O00148	PS51192;PS51194;PS51195;
O00151	PS00478;PS50023;PS50106;
O00154	PS51770;
O00155	PS00237;PS50262;
O00159	PS50096;PS51456;PS51757;
O00160	PS50096;PS51456;PS50002;PS51757;
O00161	PS50192;
O00165	
O00167	
O00168	PS01310;
O00170	PS50059;PS50005;PS50293;
O00175	
O00180	
O00182	PS51304;
O00186	
O00187	PS00010;PS01180;PS01186;PS01187;PS50923;PS50240;PS00135;
O00189	PS00991;PS51072;
O00192	PS50176;
O00194	PS51419;
O00198	PS01259;
O00203	
O00204	
O00206	PS51450;PS50104;
O00212	PS51420;
O00213	PS01179;PS01159;PS50020;
O00214	PS51304;
O00217	PS00198;PS51379;
O00219	
O00220	PS50017;PS00652;PS50050;
O00221	PS50297;PS50088;
O00222	PS00979;PS00980;PS00981;PS50259;
O00231	PS50250;
O00232	PS50250;
O00233	
O00237	PS50089;
O00238	PS51256;PS00107;PS50011;PS00108;
O00241	PS50835;
O00244	PS01047;PS50846;
O00253	PS60024;PS51150;
O00254	PS00237;PS50262;
O00255	
O00257	PS00598;PS50013;
O00258	
O00264	
O00267	
O00268	PS51119;
O00270	PS00237;PS50262;
O00273	PS51135;
O00287	
O00291	PS50942;PS50945;
O00292	PS00250;PS51362;
O00294	PS01200;PS01201;
O00299	PS50405;
O00300	PS00652;PS50050;
O00303	PS50249;
O00305	PS50002;
O00308	PS50004;PS50237;PS01159;PS50020;
O00311	PS00107;PS50011;PS00108;
O00322	
O00327	PS50888;PS50112;
O00329	PS51547;PS00915;PS00916;PS50290;PS51544;PS51546;PS51545;
O00330	PS50968;PS00189;PS51826;
O00337	
O00338	
O00339	PS00010;PS01186;PS50026;PS50234;
O00341	PS00713;PS00714;
O00358	PS00657;PS00658;PS50039;
O00370	PS50878;
O00391	PS51324;PS51352;
O00399	
O00400	
O00401	PS50108;PS50229;PS51082;
O00408	PS00126;PS51845;
O00409	PS00657;PS00658;PS50039;
O00410	PS50166;
O00411	PS00900;PS00489;
O00418	PS51158;
O00421	PS50262;
O00422	
O00423	PS50082;PS50294;
O00425	PS50084;PS50102;
O00429	PS00410;PS51718;PS51388;
O00442	PS01287;
O00443	PS50004;PS51547;PS00915;PS00916;PS50290;PS51546;PS51545;PS50195;
O00444	PS51984;PS51985;PS50078;PS00107;PS50011;
O00445	PS50004;
O00451	
O00453	
O00459	PS50238;PS50001;PS50002;
O00461	
O00462	
O00463	PS50144;PS00518;PS50089;PS50145;
O00468	PS00022;PS01186;PS50026;PS01248;PS50027;PS51465;PS50025;PS51121;PS50024;
O00469	PS51471;PS01325;
O00470	PS50071;
O00471	
O00472	PS51980;
O00476	PS50850;
O00478	PS50188;PS50835;
O00481	PS50188;PS50835;
O00482	PS51843;PS00031;PS51030;
O00483	
O00487	PS50249;
O00488	PS00028;PS50157;
O00499	PS51021;PS50002;
O00501	PS01346;
O00505	PS50176;PS51214;
O00506	PS00107;PS50011;
O00507	PS00972;PS00973;PS50235;
O00512	
O00519	PS00571;
O00522	PS50297;PS50088;PS50057;
O00526	
O00533	PS50853;PS50835;
O00541	PS50172;
O00548	PS00010;PS51051;PS00022;PS01186;PS50026;PS01187;
O00555	
O00559	
O00560	PS50106;
O00562	PS51043;
O00566	
O00567	PS51358;
O00571	PS00039;PS51192;PS51194;PS51195;
O00574	PS00237;PS50262;
O00584	PS00530;PS00531;
O00585	
O00587	
O00590	PS50262;
O00591	PS00236;
O00592	
O00602	PS00514;PS51406;
O00622	PS01185;PS01225;PS00222;PS51323;PS50092;PS01208;PS50184;
O00623	
O00624	PS50850;
O00625	
O00626	PS00472;
O00628	PS00678;PS50082;PS50294;
O00629	PS50176;PS51214;
O00631	
O00635	PS50188;PS50119;PS00518;PS50089;
O00712	PS00349;PS51080;
O00716	
O00743	PS00125;
O00744	PS00246;
O00746	PS00469;
O00748	PS00122;PS00941;
O00750	PS50004;PS51547;PS00915;PS00916;PS50290;PS51546;PS51545;PS50195;
O00754	
O00755	PS00246;
O00757	PS00124;
O00762	PS00183;PS50127;
O00763	PS50975;PS50979;PS50968;PS50989;PS50980;PS00866;PS00867;
O00764	
O00767	PS00476;
O14490	
O14492	PS50003;PS50001;
O14493	PS01346;
O14494	
O14495	
O14497	PS51011;
O14503	PS50888;PS51054;
O14508	PS50001;PS50225;
O14511	PS00022;PS01186;PS50026;PS50835;
O14512	PS50001;PS50225;
O14514	PS50227;PS50261;PS50221;PS50092;
O14519	
O14520	
O14521	
O14522	PS50853;PS50835;PS00740;PS50060;PS00383;PS50056;PS50055;
O14523	PS50004;
O14524	
O14525	
O14526	PS51741;PS51072;
O14529	PS51042;PS00027;PS50071;
O14530	
O14531	
O14543	PS50001;PS50225;
O14544	PS50001;PS50225;
O14556	PS00071;
O14558	PS01031;
O14559	PS50238;PS50002;
O14561	PS50075;PS00012;
O14569	PS50939;
O14576	PS50294;
O14578	PS51285;PS50219;PS50003;PS00107;PS50011;PS00108;PS00479;PS50081;
O14579	
O14593	PS50297;PS50088;
O14594	PS00010;PS00615;PS50041;PS00022;PS01186;PS50026;PS01187;PS50835;PS01241;PS50963;PS50923;
O14595	PS50969;
O14607	PS51184;PS50005;PS50293;
O14610	PS50058;
O14613	PS50108;
O14617	
O14618	PS50846;PS00332;
O14625	PS00471;
O14627	PS00027;PS50071;
O14628	PS50805;PS00028;PS50157;
O14633	
O14638	PS00524;PS50958;
O14639	PS51089;PS00478;PS50023;
O14640	PS50186;PS50841;PS50106;
O14641	PS50186;PS50841;PS50106;
O14645	
O14646	PS00598;PS50013;PS51192;PS51194;
O14647	PS00598;PS50013;PS51192;PS51194;
O14649	
O14653	
O14654	PS51064;PS50003;
O14656	
O14657	
O14662	PS00914;PS50192;
O14669	PS00011;PS50998;
O14672	PS50215;PS50214;PS00142;
O14678	PS50929;PS00211;PS50893;
O14681	
O14682	PS50097;
O14684	
O14686	PS51805;PS51543;PS51542;PS50868;PS50280;PS01359;PS50016;PS50089;
O14713	
O14717	PS00095;PS51679;
O14727	PS50209;PS00678;PS50082;PS50294;
O14730	PS01245;
O14732	PS00629;PS00630;
O14733	PS50011;PS00108;
O14734	
O14735	PS00379;
O14737	
O14744	PS51678;
O14745	PS50106;
O14746	PS50878;
O14756	PS00061;
O14757	PS00107;PS50011;PS00108;
O14763	PS50017;PS00652;PS50050;
O14764	PS00236;
O14770	PS50071;
O14771	PS50805;PS50804;PS00028;PS50157;
O14772	
O14773	PS51695;
O14775	PS00678;PS50082;PS50294;
O14776	PS51676;PS01159;PS50020;
O14777	
O14782	PS00411;PS50067;
O14786	PS01180;PS01285;PS01286;PS50022;PS00740;PS50060;
O14787	
O14788	PS50049;
O14791	
O14792	
O14793	PS00250;PS51362;
O14795	PS50004;PS51258;PS51259;PS00479;PS50081;
O14796	PS50001;
O14798	PS00652;PS50050;
O14802	
O14804	PS00237;PS50262;
O14807	PS51421;
O14810	
O14813	PS00027;PS50071;
O14815	PS50203;PS00018;PS50222;PS00139;
O14817	PS00421;
O14818	PS00388;PS51475;
O14827	PS50010;PS50096;PS50003;PS00720;PS50009;PS50212;
O14828	
O14829	PS00018;PS50222;PS50096;PS00125;
O14830	PS00018;PS50222;PS00125;
O14832	
O14836	PS00652;
O14841	
O14842	PS50262;
O14843	PS00237;PS50262;
O14862	PS50824;PS50834;
O14863	
O14867	PS50097;PS50217;PS00036;
O14874	PS50109;
O14879	PS50005;PS50293;
O14880	
O14893	
O14894	
O14896	PS00601;PS51507;
O14901	PS00028;PS50157;
O14904	PS00246;
O14905	PS00246;
O14907	PS50106;
O14908	PS50106;
O14910	PS51022;PS50106;
O14917	PS00232;PS50268;
O14920	PS50011;PS00108;
O14924	PS50877;PS50106;PS01179;PS50898;PS50132;
O14925	
O14926	
O14929	
O14931	PS50835;
O14933	PS00183;PS50127;
O14936	PS00856;PS50052;PS51022;PS50106;PS50011;PS50002;
O14939	PS50035;PS50195;
O14944	PS00022;PS01186;PS50026;
O14948	PS50888;
O14949	
O14950	PS00018;PS50222;
O14958	PS00863;PS00864;
O14960	
O14964	PS50330;PS50179;PS50178;
O14965	PS00107;PS50011;PS00108;
O14966	PS51419;
O14967	PS00803;PS00804;PS00805;
O14972	
O14974	PS50297;PS50088;
O14975	PS00455;
O14976	PS51182;PS50076;PS51181;PS50011;PS00108;
O14977	PS00879;
O14978	PS50805;PS50804;PS00028;PS50157;
O14979	PS50102;
O14980	PS50166;
O14981	PS51192;PS51194;
O14983	PS00154;
O14986	PS51455;
O14994	PS00415;PS00416;
O15013	PS50010;
O15014	PS00028;PS50157;
O15015	PS00028;PS50157;
O15018	PS50106;
O15020	PS00019;PS00020;PS50021;PS50003;
O15021	PS51285;PS50106;PS50011;PS00108;
O15027	
O15031	PS51004;
O15033	PS50194;PS50237;
O15040	
O15041	PS50835;PS51004;
O15042	PS51391;PS50102;PS50128;
O15047	PS50868;PS50102;PS50280;
O15049	
O15054	PS51184;
O15055	PS50112;
O15056	PS50102;PS50275;
O15060	PS50097;PS00028;PS50157;
O15061	PS00226;PS51842;
O15062	PS50097;PS00028;PS50157;
O15066	PS00411;PS50067;
O15067	PS51273;
O15068	PS50191;PS00741;PS50010;PS50003;PS50002;
O15072	PS50215;PS50900;PS50092;
O15075	PS50309;PS00107;PS50011;PS00108;
O15078	
O15079	
O15083	
O15084	PS50297;PS50088;
O15085	PS50010;PS50106;PS50003;PS50132;
O15091	
O15105	PS51075;PS51076;
O15111	PS00107;PS50011;PS00108;
O15116	PS52002;
O15117	PS50002;
O15118	PS50156;
O15119	PS01283;PS01264;PS50252;
O15120	
O15121	
O15123	PS00514;PS51406;
O15126	
O15127	
O15130	
O15131	PS50176;PS51214;
O15143	PS50082;PS50294;
O15144	
O15145	
O15146	PS50038;PS50835;PS00107;PS50011;PS00109;
O15151	PS51925;PS01358;PS50199;PS50089;
O15155	PS50192;
O15156	PS50097;PS00028;PS50157;
O15160	PS00446;
O15162	
O15164	PS00633;PS50014;PS50119;PS01359;PS50016;PS00518;PS50089;
O15165	PS01209;PS50068;
O15169	PS50841;PS50132;
O15173	
O15178	PS01283;PS01264;PS50252;
O15182	PS00018;PS50222;
O15194	PS50969;
O15195	PS51089;
O15197	PS51550;PS50853;PS50011;PS00790;PS00791;PS50105;
O15198	PS51075;PS51076;
O15204	PS50215;PS50214;PS00142;
O15205	PS50053;
O15209	PS50097;PS00028;PS50157;
O15211	PS50200;PS00720;PS50009;PS50212;
O15212	
O15213	PS50082;PS50294;
O15217	PS50405;PS50404;
O15226	PS50174;PS51061;
O15228	
O15229	
O15230	PS00022;PS01186;PS01248;PS50027;PS50025;PS51115;PS51117;
O15231	PS00478;PS50023;
O15232	PS01186;PS50026;PS50234;
O15234	
O15239	
O15240	
O15243	
O15244	PS50850;PS00216;
O15245	PS50850;PS00216;
O15247	PS50405;
O15254	
O15258	
O15259	PS50002;
O15260	PS01339;
O15263	
O15264	PS01351;PS00107;PS50011;
O15265	PS51505;
O15266	PS00027;PS50071;PS50803;
O15269	
O15270	PS00599;
O15273	
O15287	
O15294	PS50005;PS50293;
O15296	PS00711;PS00081;PS51393;PS50095;
O15297	PS01032;PS51746;
O15303	PS00979;PS00980;PS00981;PS50259;
O15304	
O15305	
O15315	PS50162;
O15318	
O15327	PS50004;
O15342	
O15344	PS50188;PS51262;PS50853;PS50119;PS00518;PS50089;
O15347	PS00353;PS50118;
O15350	PS00348;
O15353	PS00658;PS50039;
O15354	PS50262;
O15355	PS01032;PS51746;
O15357	PS50105;PS50001;
O15360	
O15371	
O15372	PS50249;
O15374	PS50850;
O15379	
O15381	PS00674;
O15382	PS00770;
O15389	PS50835;PS00290;
O15391	PS00028;PS50157;
O15392	PS50143;
O15393	PS01209;PS50068;PS50287;PS50240;PS00134;PS00135;
O15394	PS50853;PS50835;
O15397	PS50166;
O15399	
O15400	PS00914;PS50192;
O15405	PS50118;
O15409	PS00658;PS50039;PS00028;
O15427	PS50850;
O15431	
O15432	
O15438	PS50929;PS00211;PS50893;
O15439	PS50929;PS00211;PS50893;
O15440	PS50929;PS00211;PS50893;
O15444	
O15446	
O15455	PS51450;PS50104;
O15457	PS00486;
O15460	PS51471;PS50005;PS50293;
O15466	
O15467	PS00472;
O15479	PS50838;
O15481	PS50838;
O15484	PS50004;PS50203;PS00139;
O15488	
O15492	PS50132;
O15496	PS00119;PS00118;
O15498	PS50859;PS50892;
O15499	PS00027;PS50071;
O15503	
O15504	PS50103;
O15511	
O15514	
O15516	PS50888;PS50112;
O15519	PS50208;PS50168;
O15520	PS00247;
O15522	PS00027;PS50071;
O15523	PS00039;PS51192;PS51194;PS51195;
O15524	PS50001;PS50225;
O15525	PS50217;
O15527	
O15528	PS00086;
O15529	PS00237;PS50262;
O15530	PS00107;PS50011;PS00108;
O15533	PS50835;
O15534	PS50112;
O15535	PS50804;PS00028;PS50157;
O15537	PS01285;PS50022;
O15540	PS00214;
O15541	PS50103;PS00518;PS50089;
O15547	PS01212;
O15550	PS51184;PS50005;PS50293;
O15551	PS01346;
O15552	PS00237;PS50262;
O15553	PS50188;PS50824;PS50119;
O15554	
O42043	
O43143	PS00690;PS51192;PS51194;
O43147	PS50826;PS50086;
O43148	PS51562;
O43149	PS51284;PS50222;PS01357;PS50135;
O43150	PS50297;PS50088;PS50115;PS50003;PS50002;
O43151	PS51058;
O43155	PS50853;
O43156	
O43157	PS51004;
O43159	
O43164	PS50089;
O43166	PS50106;PS50085;
O43167	PS50097;PS00028;PS50157;
O43169	PS00191;PS50255;
O43172	PS00678;PS50082;PS50294;
O43173	
O43174	PS00086;
O43175	PS00065;PS00670;PS00671;
O43181	
O43182	PS50238;
O43184	PS50215;PS00427;PS50214;PS50026;PS00142;
O43186	PS00027;PS50071;
O43187	PS50011;
O43189	PS01359;PS50016;
O43193	PS00237;PS50262;
O43194	PS00237;PS50262;
O43196	PS00486;
O43236	PS51719;
O43237	
O43240	PS50240;PS00134;
O43242	PS50250;
O43248	PS00027;PS50071;
O43251	PS50102;
O43252	
O43255	PS50089;PS51081;
O43257	PS51083;
O43264	
O43272	
O43278	PS00280;PS50279;PS01209;PS50068;PS50986;
O43280	PS00927;PS00928;
O43281	PS50002;
O43283	PS50011;PS00108;
O43286	
O43290	
O43291	PS00280;PS50279;
O43292	
O43293	PS00107;PS50011;PS00108;
O43294	PS00478;PS50023;
O43295	PS51741;PS50238;PS50002;
O43296	PS50805;PS00028;PS50157;
O43298	PS50097;PS00028;PS50157;
O43299	
O43300	PS51450;
O43303	
O43306	PS00452;PS50125;
O43307	PS50010;PS50003;PS50002;
O43309	PS50804;PS00028;PS50157;
O43310	
O43312	PS51338;PS51082;
O43313	PS00028;
O43314	PS00616;
O43315	PS00221;
O43316	PS00027;PS50071;PS00034;PS51057;
O43318	PS00107;PS50011;PS00108;
O43320	PS00247;
O43323	
O43324	PS50405;
O43353	PS50209;PS50011;PS00108;
O43364	PS00032;PS00027;PS50071;
O43365	PS00032;PS00027;PS50071;
O43374	PS50004;PS50003;PS00509;PS50018;PS51113;
O43379	PS50082;PS50294;
O43390	PS50102;
O43395	PS51025;
O43396	PS51532;PS00194;
O43399	
O43402	PS50249;
O43405	PS50820;PS50234;
O43422	PS50950;
O43424	
O43426	PS50102;PS50275;
O43427	
O43432	PS51366;PS51363;
O43435	PS01283;PS01264;PS50252;
O43439	PS51119;PS01360;PS50865;
O43447	PS00170;PS50072;
O43451	PS00129;PS00707;PS00025;PS51448;
O43462	PS00142;
O43463	PS00598;PS50013;PS50868;PS50867;PS51579;PS50280;
O43464	PS50106;
O43474	PS00028;PS50157;
O43482	PS51793;
O43488	
O43490	
O43491	PS00660;PS00661;PS50057;
O43493	
O43497	
O43502	PS50162;
O43504	
O43505	
O43506	PS50215;PS00427;PS50214;PS00142;
O43508	PS50049;
O43511	PS01130;PS50801;
O43513	
O43516	PS51082;
O43520	PS00154;
O43521	
O43524	PS00658;PS50039;
O43525	
O43526	
O43529	
O43541	PS51075;PS51076;
O43542	PS50162;
O43543	PS50162;
O43548	PS00547;
O43556	
O43557	PS50049;
O43559	PS51064;
O43561	
O43566	PS50877;PS50898;PS50132;
O43567	PS50089;
O43570	PS00162;PS51144;
O43572	PS50132;
O43581	PS50004;
O43583	PS50296;
O43586	PS51741;PS50002;
O43592	
O43593	PS51184;
O43597	PS51227;
O43598	
O43602	PS50309;
O43603	PS00237;PS50262;
O43609	PS51227;
O43610	PS51227;
O43612	
O43613	PS00237;PS50262;
O43614	PS00237;PS50262;
O43615	
O43617	
O43623	PS00028;PS50157;
O43633	
O43639	PS50001;PS50002;
O43653	
O43660	PS00678;PS50082;PS50294;
O43663	
O43665	PS50132;
O43670	PS00028;
O43674	
O43676	
O43678	
O43679	PS51957;
O43680	PS50888;
O43681	
O43683	PS51489;PS00107;PS50011;PS00108;
O43684	PS50082;PS50294;
O43687	
O43688	
O43699	PS50835;PS00290;
O43704	
O43707	PS00019;PS00020;PS50021;PS00018;PS50222;
O43708	PS50405;PS50404;
O43709	
O43711	PS00027;PS50071;
O43715	PS51808;
O43716	
O43719	PS50102;
O43731	PS00951;PS00952;
O43734	PS51534;
O43739	PS50003;PS50190;
O43741	
O43745	PS00018;PS50222;
O43747	PS50180;
O43749	PS50262;
O43752	PS00914;PS50192;
O43759	PS51225;
O43760	PS51225;
O43761	PS51225;
O43763	PS00027;PS50071;
O43765	PS50005;PS50293;
O43766	PS51918;
O43768	
O43772	PS50920;
O43776	PS50862;
O43781	PS00107;PS50011;PS00108;
O43790	PS00226;PS51842;
O43791	PS50097;PS50144;
O43795	PS50096;PS51456;PS51757;
O43805	
O43808	PS50920;
O43809	PS51462;
O43813	
O43815	PS00678;PS50082;PS50294;
O43818	PS00678;PS50082;PS50294;
O43819	PS51352;
O43820	PS00022;PS01186;
O43822	PS51450;
O43823	PS51799;
O43825	
O43826	PS00942;PS50850;
O43827	PS51406;
O43829	PS50097;PS00028;PS50157;
O43837	PS00470;
O43847	PS00143;
O43852	PS00018;PS50222;
O43854	PS00010;PS00022;PS01186;PS50026;PS01187;PS01285;PS01286;PS50022;
O43861	PS00154;
O43865	PS00738;PS00739;
O43866	PS00420;PS50287;
O43868	
O43889	PS50217;PS00036;
O43895	PS00491;
O43896	PS00411;PS50067;
O43897	PS51864;PS01180;PS01186;PS50026;PS01187;PS00142;
O43900	PS00478;PS50023;PS51303;
O43903	PS50021;PS51460;
O43909	
O43913	
O43914	
O43915	PS00249;PS50278;
O43916	
O43918	PS51414;PS50864;PS01359;PS50016;
O43920	PS51808;
O43921	PS01299;PS51551;
O43924	
O43927	PS00471;
O43929	
O43933	PS00674;
O60216	
O60218	PS00798;PS00062;PS00063;
O60220	
O60229	PS50191;PS50010;PS50853;PS50835;PS50003;PS00107;PS50011;PS00108;PS50002;
O60231	PS00690;PS51192;PS51194;
O60232	
O60235	PS50024;PS50240;PS00134;PS00135;
O60237	PS50297;PS50088;
O60238	
O60239	
O60240	
O60241	PS50227;PS50261;PS50221;PS50092;
O60242	PS01180;PS00650;PS50227;PS50261;PS50221;PS50092;
O60243	
O60244	
O60248	PS50118;
O60256	
O60258	PS00247;
O60259	PS50240;PS00134;PS00135;
O60260	PS51873;PS50053;
O60264	PS51192;PS51194;PS51293;
O60266	PS00452;PS50125;
O60269	
O60271	PS51776;PS51777;
O60281	PS00028;PS50157;
O60282	PS00411;PS50067;
O60284	PS51802;
O60285	PS00107;PS50011;PS00108;
O60291	PS50089;
O60292	PS50106;PS50085;
O60293	PS50293;
O60294	
O60296	
O60303	
O60304	PS50804;PS00028;PS50157;
O60306	
O60307	PS51285;PS50106;PS50011;PS00108;
O60308	
O60312	PS00154;
O60313	PS51718;
O60315	PS00028;PS50157;
O60318	PS50250;
O60331	PS51455;
O60333	PS50006;PS00411;PS50067;PS50003;
O60336	PS50082;PS50294;
O60337	PS51292;
O60341	PS50934;
O60343	PS01179;PS50086;
O60346	PS51450;PS50003;PS51746;
O60353	PS50038;PS50261;
O60356	
O60359	
O60381	PS51148;PS50118;
O60383	PS00250;PS51362;
O60391	
O60393	PS50071;
O60423	PS00154;
O60427	PS50255;
O60437	PS50002;
O60443	
O60447	PS50086;
O60449	PS00615;PS50041;PS00023;PS51092;PS50231;
O60462	PS01180;PS01285;PS01286;PS50022;PS50060;
O60469	PS50853;PS50835;
O60476	
O60477	
O60478	
O60479	PS00027;PS50071;
O60481	PS00028;PS50157;
O60486	PS51004;
O60487	PS50835;
O60488	PS00455;
O60493	PS50195;
O60494	PS00010;PS01180;PS00022;PS01186;PS50026;PS01187;
O60496	PS51064;PS50003;
O60499	PS00914;PS50192;
O60500	PS50853;PS50835;
O60502	PS52009;
O60503	PS00452;PS50125;
O60504	PS50002;PS50831;
O60506	PS50102;
O60507	
O60508	PS00678;PS50082;PS50294;
O60512	
O60513	
O60516	
O60519	
O60524	
O60543	PS51135;
O60547	
O60548	PS00657;PS00658;PS50039;
O60551	PS00975;PS00976;
O60563	
O60565	
O60566	PS51489;
O60568	PS51471;PS01325;
O60573	PS00813;
O60583	
O60602	PS51450;PS50104;
O60603	PS51450;PS50104;
O60609	
O60610	PS51231;PS51444;PS51232;
O60613	
O60635	PS00421;
O60636	PS00421;
O60641	PS50942;
O60645	
O60656	PS00375;
O60658	PS50112;PS00126;PS51845;
O60662	PS50097;
O60663	PS00027;PS50071;PS00478;PS50023;
O60664	
O60667	
O60669	PS50850;
O60671	
O60673	PS00116;
O60674	PS50057;PS00107;PS50011;PS00109;PS50001;
O60675	PS50217;
O60678	PS51678;PS00028;
O60682	PS50888;
O60683	PS00518;PS50089;
O60684	PS50176;PS51214;
O60687	PS50825;PS50923;
O60701	
O60704	
O60706	PS50929;PS00211;PS50893;
O60711	PS00478;PS50023;
O60716	PS50176;
O60721	
O60725	PS51564;
O60729	PS00383;PS50056;PS50054;
O60733	PS50297;PS50088;PS51635;
O60741	PS00888;PS50042;
O60749	PS50195;
O60755	PS00237;PS50262;
O60759	PS50106;
O60760	PS50405;PS50404;
O60762	
O60763	PS50176;
O60779	
O60783	
O60784	PS50909;PS50179;
O60806	PS01283;PS01264;PS50252;
O60812	PS50102;
O60814	PS00357;
O60825	PS00175;
O60826	
O60828	PS50020;
O60829	
O60830	
O60831	
O60832	PS50890;
O60840	
O60841	PS51722;
O60844	PS51752;
O60858	PS50119;PS00518;PS50089;
O60861	PS51741;PS50002;PS01159;PS50020;
O60869	PS50943;
O60870	PS00028;
O60879	PS51231;PS51444;PS51232;
O60880	PS50001;
O60882	PS00546;PS51642;PS00142;
O60883	PS50262;
O60884	PS00636;PS50076;PS51188;
O60885	PS00633;PS50014;PS51525;
O60888	
O60890	PS50003;PS50238;
O60894	
O60895	
O60896	
O60902	PS00027;PS50071;PS50803;
O60906	
